OTUNumber	Isa_111214	Isa_120117	Isa_120128	Isa_120209	Isa_120216	Isa_120223	Isa_120301	Isa_120308	Isa_120320	Isa_120321	Isa_120322	Isa_120323	Isa_120329	Isa_120403	Isa_120411	Isa_120416	Isa_120419	Isa_120423	Isa_120426	Isa_120430	Isa_120503	Isa_120507	Isa_120508	Isa_120509	Isa_120510	Isa_120516	Isa_120524	Isa_120621	Isa_120706	Isa_120806	Isa_120823	Isa_120906	Isa_120918	Isa_121031	Isa_121115	Isa_121129	Isa_121206	Isa_121213	Isa_130110	Isa_130123	Isa_130130	Isa_130219	Isa_130301	Isa_130307	Isa_130315	Isa_130320	Isa_130405	Isa_130411	Isa_130419	Isa_130424	Isa_130502	Isa_130510	Isa_130515	Isa_130524	Isa_130530	Isa_130605	Isa_130612	Isa_130619	Isa_130710	Isa_130724	Isa_130807	Isa_130823	Isa_130908	Isa_131009	Isa_140121	Isa_140221	Isa_140226	Isa_140401	Isa_140410	Isa_140423	Isa_140429	Isa_140502	Isa_140507	Isa_140514	Isa_140522	Isa_140528	Isa_140604	Isa_140611	Isa_140618	Isa_140904	Isa_141009	Isa_141024
OTU1	436	348	236	139	260	446	149	321	204	442	245	215	175	170	333	1327	1362	2597	4805	8139	5255	8745	9710	4587	11100	16900	19900	1152	1785	356	88	525	1618	446	233	692	364	552	430	617	498	625	372	310	268	606	1717	1879	1588	2116	3601	2508	6083	7999	5566	5361	1624	869	2980	549	259	550	836	91	356	402	88	478	442	1016	140	454	631	1758	955	1783	234	1950	4890	558	560	496
OTU10	2308	2537	1599	1956	328	668	551	1462	896	646	616	643	379	475	661	399	105	81	20	9	6	0	5	0	0	0	0	96	0	96	74	18	89	478	1148	1081	1347	2343	955	1219	1245	1057	1217	938	1307	1746	935	148	314	65	2	0	0	0	2	20	22	27	117	48	88	21	87	43	542	784	159	793	1051	92	187	11	3	5	65	14	27	28	52	23	17	795
OTU100	83	36	21	30	1	21	23	99	75	61	40	47	44	46	74	201	21	4	0	1	0	0	0	0	0	1	0	3	2	23	3	2	14	13	26	31	43	72	31	30	24	85	13	8	21	77	45	12	4	0	0	0	2	2	10	61	104	321	0	4	11	1	6	21	54	35	25	41	200	48	15	15	6	19	2	0	0	0	3	5	8	93
OTU1000	0	0	0	0	0	0	1	11	1	4	2	3	8	4	4	3	0	0	0	0	2	0	0	0	0	0	0	3	3	5	76	2	1	0	0	0	2	3	0	2	1	5	37	4	7	17	11	10	0	0	3	4	0	0	0	0	3	0	3	0	15	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1001	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	10	3	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	3	1	0	4	3	4
OTU1002	0	2	0	1	0	0	2	7	2	2	1	3	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	1	0	1	3	1	0	1	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15
OTU1003	3	0	0	0	0	0	1	0	1	0	0	2	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	7	2	10	6	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	4
OTU1004	9	2	5	7	2	7	10	13	11	12	10	7	7	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	5	7	5	8	6	5	8	3	10	4	4	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	2
OTU1005	1	0	2	0	1	0	0	6	4	1	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	1	1	3	0	2	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1006	0	2	0	4	9	3	7	8	1	1	1	3	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29	4	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
