Sample_Name	date	year	season_nr	seasons	month	day	DOY	running_day	template	depth	declination	daylength	nitrate	phosphate	silicate	N_P	watermass	temp_25	sal_25	F_25	chla_GFF	chla_10	chl_small	bacteria	virus
Isa_111214	14-Dec-11	2011	1	winter	12	14	348	348	1	25	-23.06	0	2.81	0.15	1.51	18.8	5	0.8665	34.315	0	0.024	0.003	0.02	NA	NA
Isa_120117	17-Jan-12	2012	1	winter	1	17	17	382	1	25	-20.68	0	NA	NA	NA	NA	5	-1.3075	34.1816	0.03663	0.04	0.010341667	0.029	NA	NA
Isa_120128	28-Jan-12	2012	1	winter	1	28	28	393	1	25	-18.22	0	7.22	0.3	4.48	23.9	5	-0.8325	34.2375	0	0.036408333	0.015866667	0.021	NA	NA
Isa_120209	09-Feb-12	2012	1	winter	2	9	40	405	1	25	-14.76	0	7.32	0.36	4.58	20.5	5	-0.78075	34.17	0	0.030175	0.008358333	0.022	NA	NA
Isa_120216	16-Feb-12	2012	1	winter	2	16	47	412	1	25	-12.43	0	5.52	0.25	2.65	22.2	5	-0.609	34.304	0	0.030175	0.0068	0.023	6323007	88637636
Isa_120223	23-Feb-12	2012	1	winter	2	23	54	419	1	25	-9.92	5	6.85	0.42	3.94	16.4	5	-0.3365	34.34	0	0.015016667	0.00595	0.009	25569416	160216949
Isa_120301	01-Mar-12	2012	2	spring	3	1	61	426	1	25	-7.66	7	6.38	0.5	3.2	12.7	3	1.3284	34.62	0	0.020966667	0.010341667	0.011	35347574	236494102
Isa_120308	08-Mar-12	2012	2	spring	3	8	68	433	1	25	-4.52	9	3.98	0.33	1.95	12.2	NA	1.1212	34.6175	0	0.015016667	0.0085	0.007	460490	14842982
Isa_120320	20-Mar-12	2012	2	spring	3	20	80	445	1	25	0.32	12	9.39	0.66	5.5	14.3	5	0.914	34.615	0	0.013175	0.010058333	0.003	3067808	122004027
Isa_120321	21-Mar-12	2012	2	spring	3	21	81	446	1	25	0.72	12	4.82	0.47	2.3	10.3	2	1.36625	34.71	0	0.016716667	0.008925	0.008	361644	3937919
Isa_120322	22-Mar-12	2012	2	spring	3	22	82	447	1	25	1.12	13	4.26	0.39	1.9	10.8	2	1.98275	34.7725	0	0.020541667	0.009491667	0.011	293220	5671576
Isa_120323	23-Mar-12	2012	2	spring	3	23	83	448	1	25	1.52	13	8.23	0.54	4.97	15.2	3	1.2695	34.685	0	0.018770834	0.010695834	0.008075	624099	18447977
Isa_120329	29-Mar-12	2012	2	spring	3	29	89	454	1	25	3.92	14	7.59	0.86	3.52	8.9	2	1.909666667	34.79	0	0.017	0.0119	0.005	334140	3851871
Isa_120403	03-Apr-12	2012	2	spring	4	3	94	459	1	25	5.88	16	4.87	0.54	2.35	9	2	1.252	34.735	0	0.047741667	0.024791667	0.023	328804	4615040
Isa_120411	11-Apr-12	2012	2	spring	4	11	102	467	1	25	8.91	18	9.02	0.7	4.1	12.9	2	1.484666667	34.83666667	0.015	0.119283333	0.060916667	0.058	43950699	137057832
Isa_120416	16-Apr-12	2012	2	spring	4	16	107	472	1	25	10.72	20	5.06	0.59	2.2	8.6	2	1.4995	34.845	0.04	0.22695	0.106108333	0.121	13880010	97026943
Isa_120419	19-Apr-12	2012	3	summer	4	19	110	475	1	25	11.76	22	7.66	0.64	3.3	11.9	NA	1.16925	34.81	0.28	1.4195	NA	NA	633668	5177999
Isa_120423	23-Apr-12	2012	3	summer	4	23	114	479	1	25	13.1	24	3.24	0.42	0.82	7.7	5	0.839	34.775	0.52	2.585416667	1.86575	0.72	10714463	153115961
Isa_120426	26-Apr-12	2012	3	summer	4	26	117	482	1	25	14.06	24	4.49	0.38	1.65	11.8	5	-0.2305	34.5625	0.715	1.4195	1.260833333	0.159	10027454	83069530
Isa_120430	30-Apr-12	2012	3	summer	4	30	121	486	1	25	15.29	24	3.41	0.35	1.27	9.6	5	-0.226666667	34.51666667	0.72	1.697166667	1.188583333	0.509	2298629	9911242
Isa_120503	03-May-12	2012	3	summer	5	3	124	489	1	25	16.16	24	1.55	0.26	0.64	5.9	5	-0.2345	34.54	0.5475	2.219916667	1.735416667	0.484	2678603	13635701
