OTUname	acc	Kingdom	Supergroup	Phylum	Tax1	Tax2	Species	Id	E-val	bit	length
OTU1	AB120004.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_helveticum	99.50	0.0	732	402
OTU10	FJ032662.1	Eukaryota	stramenopiles	MASTs	MAST_1	MAST_1a	DH22_2A47	100.00	0.0	752	407
OTU100	GQ354272.1	Eukaryota	stramenopiles	Dictyochophyceae[silicoflagellates]	Dictyochophyceae[silicoflagellates]	Rhizochromulinales	Rhizochromulina	75.39	2,00E-28	119	256
OTU1001	AF290083.2	Eukaryota	stramenopiles	MASTs	MAST_2	MAST_2	DH148_5_EKD52	98.03	0.0	704	406
OTU1002	HQ901764.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Oligohymenophorea	Uronemella	Uronemella_filificum	88.71	1,00E-81	296	248
OTU1003	EU792979.1	Eukaryota	Alveolata	MALVs	MALV_II_G_group	Guillou_19	Guillou_19	96.61	0.0	636	383
OTU1004	AY664971.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_NW414.36	Dino_clone_SCM15C21	98.76	0.0	715	402
OTU1005	EF172942.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.3_4	Guillou_II.3_4	87.16	2,00E-129	455	405
OTU1006	AB252658.1	Eukaryota	stramenopiles	PX_clade	PX_clade	Sphacelariales	Choristocarpus	89.41	6,00E-149	520	425
OTU1007	DQ303924.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Protaspis	98.29	0.0	719	410
OTU1009	EU247834.1	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	Chrysosphaerales	Chrysosaccus	89.90	6,00E-149	520	406
OTU101	AF133819.1	Eukaryota	stramenopiles	Eustigmatophyceae	Eustigmatophyceae	Eustigmatales	Nannochloropsis	90.46	6,00E-154	536	409
OTU1010	AJ564772.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	97.74	0.0	688	399
OTU1013	FJ844428.1	Eukaryota	Alveolata	MALVs	MALV_IV_[Syndinales]	Syndiniales[groupIV]	Syndiniales[groupIV]	97.03	0.0	676	404
OTU1014	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	98.23	0.0	691	395
OTU1015	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	95.53	0.0	643	403
OTU1017	AY954993.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP1195_clade_C	98.48	0.0	697	395
OTU1018	EF172837.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	93.53	1,00E-170	592	402
OTU1019	AF167155.1	Eukaryota	stramenopiles	Bolidophyceae	Bolidophyceae	Bolidomonas	Bolidomonas	92.86	5,00E-169	586	406
OTU102	EF172923.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.20	Guillou_II.20	95.05	0.0	630	404
OTU1020	FN999015.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Oligohymenophorea	Durchoniella_ALS_2010b	Durchoniella_ALS_2010b	91.05	4,00E-150	523	391
OTU1022	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	94.25	1,00E-175	608	400
